RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
1,Tim Anderson,CHW,498,81,167,32,0,18,56,17,5,15,109,0.335,0.357,0.508,0.865,4
2,Christian Yelich,MIL,489,100,161,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,7.1
3,Ketel Marte,ARI,569,97,187,36,9,32,92,10,2,53,86,0.329,0.389,0.592,0.981,6.9
4,DJ LeMahieu,NYY,602,109,197,33,2,26,102,5,2,46,90,0.327,0.375,0.518,0.893,6
5,Anthony Rendon,WSH,545,117,174,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,6.3
6,Jeff McNeil,NYM,510,83,162,38,1,23,75,5,6,35,75,0.318,0.384,0.531,0.916,5
7,Yoan Moncada,CHW,511,83,161,34,5,25,79,10,3,40,154,0.315,0.367,0.548,0.915,4.6
8,Nolan Arenado,COL,588,102,185,31,2,41,118,3,2,62,93,0.315,0.379,0.583,0.962,5.7
9,Charlie Blackmon,COL,580,112,182,42,7,32,86,2,5,40,104,0.314,0.364,0.576,0.94,2.3
10,Michael Brantley,HOU,575,88,179,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,4.6
11,Rafael Devers,BOS,647,129,201,54,4,32,115,8,8,48,119,0.311,0.361,0.555,0.916,5.3
12,Nelson Cruz,MIN,454,81,141,26,0,41,108,0,1,56,131,0.311,0.392,0.639,1.031,4.3
13,Xander Bogaerts,BOS,614,110,190,52,0,33,117,4,2,76,122,0.309,0.384,0.555,0.939,5.2
14,Hanser Alberto,BAL,524,62,160,21,2,12,51,4,4,16,50,0.305,0.329,0.422,0.751,3.1
15,Cody Bellinger,LAD,558,121,170,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,9
16,J.D. Martinez,BOS,575,98,175,33,2,36,105,2,0,72,138,0.304,0.383,0.557,0.939,3.3
17,Whit Merrifield,KC,681,105,206,41,10,16,74,20,10,45,126,0.302,0.348,0.463,0.811,4
18,Jose Altuve,HOU,500,89,149,27,3,31,74,6,5,41,82,0.298,0.353,0.55,0.903,3.7
19,Yuli Gurriel,HOU,564,85,168,40,2,31,104,5,3,37,65,0.298,0.343,0.541,0.884,3.2
20,Trea Turner,WSH,521,96,155,37,5,19,57,35,5,43,113,0.298,0.353,0.497,0.85,2.4
21,Alex Bregman,HOU,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,8.4
22,Ozzie Albies,ATL,640,102,189,43,8,24,86,15,4,54,112,0.295,0.352,0.5,0.852,4.8
23,Starling Marte,PIT,539,97,159,31,6,23,82,25,6,25,94,0.295,0.342,0.503,0.845,2.9
24,Freddie Freeman,ATL,597,113,176,34,2,38,121,6,3,87,127,0.295,0.389,0.549,0.938,4.4
,Mookie Betts,BOS,597,135,176,40,5,29,80,16,3,97,101,0.295,0.391,0.524,0.915,6.8
26,Jorge Polanco,MIN,631,107,186,40,7,22,79,4,3,60,116,0.295,0.356,0.485,0.841,5.7
27,Trevor Story,COL,588,111,173,38,5,35,85,23,8,58,174,0.294,0.363,0.554,0.917,6.4
28,George Springer,HOU,479,96,140,20,3,39,96,6,2,67,113,0.292,0.383,0.591,0.974,6.2
29,Mike Trout,LAA,470,110,137,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,8.3
30,Trey Mancini,BAL,602,106,175,38,2,35,97,1,0,63,143,0.291,0.364,0.535,0.899,3.3
31,Austin Meadows,TB,530,83,154,29,7,33,89,12,7,54,131,0.291,0.364,0.558,0.922,3.8
32,David Fletcher,LAA,596,83,173,30,4,6,49,8,3,55,64,0.29,0.35,0.384,0.734,3.8
33,Justin Turner,LAD,479,80,139,24,0,27,67,2,0,51,88,0.29,0.372,0.509,0.881,3.7
34,Jose Iglesias,CIN,504,62,145,21,3,11,59,6,6,20,70,0.288,0.318,0.407,0.724,1.5
35,Wilson Ramos,NYM,473,52,136,19,0,14,73,1,0,44,69,0.288,0.351,0.416,0.768,2
36,Amed Rosario,NYM,616,75,177,30,7,15,72,19,10,31,124,0.287,0.323,0.432,0.755,1.8
37,Ryan Braun,MIL,459,70,131,31,2,22,75,11,1,34,105,0.285,0.343,0.505,0.849,1.8
38,Marcus Semien,OAK,657,123,187,43,7,33,92,10,8,87,102,0.285,0.369,0.522,0.892,8.1
39,Kolten Wong,STL,478,61,136,25,4,11,59,24,4,47,83,0.285,0.361,0.423,0.784,4.7
40,Francisco Lindor,CLE,598,101,170,40,2,32,74,22,5,46,98,0.284,0.335,0.518,0.854,4.7
41,Jose Abreu,CHW,634,85,180,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,2.4
42,Miguel Rojas,MIA,483,52,137,29,1,5,46,9,5,32,62,0.284,0.331,0.379,0.71,2.4
43,Danny Santana,TEX,474,81,134,23,6,28,81,21,6,25,151,0.283,0.324,0.534,0.857,2.3
44,Juan Soto,WSH,542,110,153,32,5,34,110,12,1,108,132,0.282,0.401,0.548,0.949,4.7
45,Avisail Garcia,TB,489,61,138,25,2,20,72,10,4,31,125,0.282,0.332,0.464,0.796,2
46,Miguel Cabrera,DET,493,41,139,21,0,12,59,0,0,48,108,0.282,0.346,0.398,0.744,0
47,Kris Bryant,CHC,543,108,153,35,1,31,77,4,0,74,145,0.282,0.382,0.521,0.903,3.6
48,Carlos Santana,CLE,573,110,161,30,1,34,93,4,0,108,108,0.281,0.397,0.515,0.911,4.5
49,Javier Baez,CHC,531,89,149,38,4,29,85,11,7,28,156,0.281,0.316,0.531,0.847,4.8
50,Ronald Acuna Jr.,ATL,626,127,175,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,5.5
51,Jean Segura,PHI,576,79,161,37,4,12,60,10,2,30,73,0.28,0.323,0.42,0.743,1.3
52,Cesar Hernandez,PHI,612,77,171,31,3,14,71,9,2,45,100,0.279,0.333,0.408,0.741,2.5
53,Hunter Dozier,KC,523,75,146,29,10,26,84,2,2,55,148,0.279,0.348,0.522,0.87,2.1
54,Adam Eaton,WSH,566,103,158,25,7,15,49,15,3,65,106,0.279,0.365,0.428,0.792,1.6
55,Leury Garcia,CHW,577,93,161,27,3,8,40,15,5,21,139,0.279,0.31,0.378,0.688,1.6
56,Gleyber Torres,NYY,546,96,152,26,0,38,90,5,2,48,129,0.278,0.337,0.535,0.871,3.9
57,Josh Bell,PIT,527,94,146,37,3,37,116,0,1,74,118,0.277,0.367,0.569,0.936,2.9
58,Christian Vazquez,BOS,482,66,133,26,1,23,72,4,2,33,101,0.276,0.32,0.477,0.798,2.2
59,Eddie Rosario,MIN,562,91,155,28,1,32,109,3,1,22,86,0.276,0.3,0.5,0.8,1.6
60,Josh Reddick,HOU,501,57,138,19,3,14,56,5,2,36,66,0.275,0.319,0.409,0.728,1.2
61,J.T. Realmuto,PHI,538,92,148,36,3,25,83,9,1,41,123,0.275,0.328,0.493,0.82,4.4
62,Elvis Andrus,TEX,600,81,165,27,4,12,72,31,8,34,96,0.275,0.313,0.393,0.707,1.9
63,Jonathan Villar,BAL,642,111,176,33,5,24,73,40,9,61,176,0.274,0.339,0.453,0.792,4
64,Tommy Pham,TB,567,77,155,33,2,21,68,25,4,81,123,0.273,0.369,0.45,0.818,3.7
65,Corey Seager,LAD,489,82,133,44,1,19,87,1,0,44,98,0.272,0.335,0.483,0.817,4
66,Vladimir Guerrero Jr.,TOR,464,52,126,26,2,15,69,0,1,46,91,0.272,0.339,0.433,0.772,2.1
67,Starlin Castro,MIA,636,68,172,31,4,22,86,2,2,28,111,0.27,0.3,0.436,0.736,0.8
68,Eduardo Escobar,ARI,636,94,171,29,10,35,118,5,1,50,130,0.269,0.32,0.511,0.831,4.2
69,Eloy Jimenez,CHW,468,69,125,18,2,31,79,0,0,30,134,0.267,0.315,0.513,0.828,1.4
70,Matt Olson,OAK,483,73,129,26,0,36,91,0,0,51,138,0.267,0.351,0.545,0.896,5.1
71,Yasiel Puig,CLE/CIN,555,76,148,30,2,24,84,19,7,44,133,0.267,0.327,0.458,0.785,1.3
72,Alex Gordon,KC,556,77,148,31,1,13,76,5,3,51,100,0.266,0.345,0.396,0.741,1.4
73,Andrew Benintendi,BOS,541,72,144,40,5,13,68,10,3,59,140,0.266,0.343,0.431,0.774,1.7
74,Eric Hosmer,SD,619,72,164,29,2,22,99,0,3,40,163,0.265,0.31,0.425,0.735,-0.3
75,Jorge Soler,KC,589,95,156,33,1,48,117,3,1,73,178,0.265,0.354,0.569,0.922,3.7
76,Shin-Soo Choo,TEX,563,93,149,31,2,24,61,15,1,78,165,0.265,0.371,0.455,0.826,1.6
77,Luke Voit,NYY,429,72,113,21,1,21,62,0,0,71,142,0.263,0.378,0.464,0.842,1.9
78,Brian Anderson,MIA,459,57,120,33,1,20,66,5,1,44,114,0.261,0.342,0.468,0.811,3.8
79,Freddy Galvis,TOR/CIN,557,67,145,28,1,23,70,4,2,28,145,0.26,0.296,0.438,0.734,1.6
80,Bryce Harper,PHI,573,98,149,36,1,35,114,15,3,99,178,0.26,0.372,0.51,0.882,4.2
81,Adam Jones,ARI,485,66,126,25,1,16,67,2,1,31,101,0.26,0.313,0.414,0.728,-0.4
82,Lorenzo Cain,MIL,562,75,146,30,0,11,48,18,8,50,106,0.26,0.325,0.372,0.697,2.8
83,Pete Alonso,NYM,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,5
84,Asdrubal Cabrera,TEX/WSH,447,69,116,25,1,18,91,4,0,57,103,0.26,0.342,0.441,0.783,1.7
85,Christian Walker,ARI,529,86,137,26,1,29,73,8,1,67,155,0.259,0.348,0.476,0.825,2.8
86,Josh Donaldson,ATL,549,96,142,33,0,37,94,4,2,100,155,0.259,0.379,0.521,0.9,6.1
87,Kevin Pillar,TOR/SF,611,83,158,37,3,21,88,14,5,18,89,0.259,0.287,0.432,0.719,1
88,Michael Conforto,NYM,549,90,141,29,1,33,92,7,2,84,149,0.257,0.363,0.494,0.856,3.5
89,Manny Machado,SD,587,81,150,21,2,32,85,5,3,65,128,0.256,0.334,0.462,0.796,3.1
90,Jose Ramirez,CLE,482,68,123,33,3,23,83,24,4,52,74,0.255,0.327,0.479,0.806,3.3
91,Victor Robles,WSH,546,86,139,33,3,17,65,28,9,35,140,0.255,0.326,0.419,0.745,4.1
92,Mike Moustakas,MIL,523,80,133,30,1,35,87,3,0,53,98,0.254,0.329,0.516,0.845,3.2
93,Willy Adames,TB,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,4.2
94,Evan Longoria,SF,453,59,115,19,2,20,69,3,1,43,112,0.254,0.325,0.437,0.762,2.4
95,Nick Ahmed,ARI,556,79,141,33,6,19,82,8,2,52,113,0.254,0.316,0.437,0.753,4.5
96,Domingo Santana,SEA,451,63,114,20,1,21,69,8,3,50,164,0.253,0.329,0.441,0.77,0.4
97,Yolmer Sanchez,CHW,496,59,125,20,4,2,43,5,4,44,117,0.252,0.318,0.321,0.638,2.1
98,Max Kepler,MIN,524,98,132,32,0,36,90,1,5,60,99,0.252,0.336,0.519,0.855,4
99,Dansby Swanson,ATL,483,77,121,26,3,17,65,10,5,51,124,0.251,0.325,0.422,0.748,0.9
100,Max Muncy,LAD,487,101,122,22,1,35,98,4,1,90,149,0.251,0.374,0.515,0.889,5.7
101,Brett Gardner,NYY,491,86,123,26,7,28,74,10,2,52,108,0.251,0.325,0.503,0.829,4
102,Ryan McMahon,COL,480,70,120,22,1,24,83,5,1,56,160,0.25,0.329,0.45,0.779,1.5
103,Franmil Reyes,CLE/SD,494,69,123,19,0,37,81,0,0,47,156,0.249,0.31,0.512,0.822,0.3
104,Joc Pederson,LAD,450,83,112,16,3,36,74,1,1,50,111,0.249,0.339,0.538,0.876,3.3
105,Matt Chapman,OAK,583,102,145,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,6.7
106,Yasmani Grandal,MIL,513,79,126,26,2,28,77,5,1,109,139,0.246,0.38,0.468,0.848,2.5
107,Jason Kipnis,CLE,458,52,112,23,1,17,65,7,2,40,88,0.245,0.304,0.41,0.715,0.5
108,Albert Pujols,LAA,491,55,120,22,0,23,93,3,0,43,68,0.244,0.305,0.43,0.734,0.4
109,Renato Nunez,BAL,541,72,132,24,0,31,90,1,1,44,143,0.244,0.311,0.46,0.771,1.1
110,Brandon Belt,SF,526,76,123,32,3,17,57,4,3,83,127,0.234,0.339,0.403,0.742,0.6
111,Randal Grichuk,TOR,586,75,136,29,5,31,80,2,1,35,163,0.232,0.28,0.457,0.738,0.3
112,Kole Calhoun,LAA,552,92,128,29,1,33,74,4,1,70,162,0.232,0.325,0.467,0.792,2.3
113,Brandon Crawford,SF,500,58,114,24,2,11,59,3,2,53,117,0.228,0.304,0.35,0.654,0.6
114,Mallex Smith,SEA,510,70,116,19,9,6,37,46,9,42,141,0.227,0.3,0.335,0.635,-0.1
115,Rhys Hoskins,PHI,570,86,129,33,5,29,85,2,2,116,173,0.226,0.364,0.454,0.819,1.5
116,Jackie Bradley Jr.,BOS,494,69,111,28,3,21,62,8,6,56,155,0.225,0.317,0.421,0.738,2
117,Orlando Arcia,MIL,494,51,110,16,1,15,59,8,5,43,109,0.223,0.283,0.35,0.633,-0.1
118,Khris Davis,OAK,481,61,106,11,0,23,73,0,0,47,146,0.22,0.293,0.387,0.679,-0.3
119,Jurickson Profar,OAK,459,65,100,24,2,20,67,9,1,48,75,0.218,0.301,0.41,0.711,0.8
120,Daniel Vogelbach,SEA,462,73,96,17,0,30,76,0,0,92,149,0.208,0.341,0.439,0.78,1.4
121,Rougned Odor,TEX,522,77,107,30,1,30,93,11,9,52,178,0.205,0.283,0.439,0.721,-0.3
